"SKU","STORE","COST","RETAIL"
1422235,6503,124.00,240.00
5878668,2504,22.13,29.50
4590224,304,11.75,34.00
242582,1004,16.50,22.05
5766859,8603,18.15,21.00
2271294,103,14.54,15.81
8949000,604,8.50,24.00
5059524,103,18.07,19.64
7226269,202,21.00,12.00
4778360,507,17.25,27.00
5836212,409,50.44,54.83
47941,2109,45.00,90.00
627439,1702,26.92,29.26
5906503,1407,15.50,9.50
7578662,103,29.50,34.50
5929240,707,78.20,85.00
3946675,2109,20.47,11.25
9606905,102,59.00,35.50
3786374,409,24.99,16.75
482901,107,34.00,18.00
5300312,4004,35.00,18.50
8727666,202,23.40,40.00
5578927,103,21.05,49.50
148147,409,15.54,28.50
9647954,304,16.00,19.50
8347907,107,21.35,37.00
8677094,1403,11.07,7.25
1551418,407,5.36,5.83
8746916,203,10.00,7.25
8454149,103,16.76,18.22
1568588,107,45.47,49.43
3679194,2109,23.80,29.75
7891352,107,7.74,5.00
1979139,609,64.20,69.79
1976651,1602,47.50,48.75
1256041,404,6.00,4.75
229042,2203,11.20,7.00
4776423,7407,12.00,25.00
7531251,402,18.00,18.80
8004038,603,7.88,4.75
3181060,7403,50.00,24.75
5288648,402,17.93,27.50
1596831,203,68.06,42.00
6777300,304,9.30,10.11
944024,1009,17.79,19.34
271498,1004,17.48,19.00
859581,2707,40.00,89.00
3997186,107,11.79,19.00
9087645,4603,16.34,17.76
499541,4202,18.40,22.00
7070067,1004,17.50,39.00
6324232,103,15.25,10.48
1751565,204,18.75,7.99
3631110,9204,46.55,27.00
8158772,307,26.10,32.00
9537695,2707,88.00,56.25
6568976,202,10.50,13.40
7843737,7007,37.46,40.71
6867310,202,29.31,31.86
1487102,1607,52.00,96.00
3479394,2007,10.75,12.50
3704419,103,29.33,17.25
9208508,603,16.28,29.99
8569853,209,19.00,36.75
1540427,503,8.01,8.71
5699464,907,36.00,19.75
3164094,1102,15.35,16.69
9684048,107,37.96,41.26
5609454,204,34.97,38.01
5260548,3009,5.00,19.00
7900080,1403,38.00,95.00
1987928,407,14.02,9.50
9354861,209,21.60,14.50
3521585,107,18.14,19.72
1523726,709,5.25,2.99
9414018,209,34.50,18.03
8541753,2203,10.91,11.86
2708477,407,66.02,71.76
1732050,107,1.78,5.00
8730358,209,14.00,8.75
6259712,6804,34.75,17.38
2573462,7602,22.99,24.99
9218439,402,20.00,22.00
5253574,103,32.50,16.25
4879382,103,13.50,25.50
1592610,203,8.85,4.62
8236445,202,34.75,34.75
7589205,409,26.00,14.99
8067559,2309,18.90,22.00
4451600,504,14.86,16.16
4102694,409,12.17,13.22
590897,7804,31.02,17.00
1108689,4209,14.34,29.25
2628194,209,29.60,38.00
4369237,102,34.58,39.99
3418096,3307,62.25,42.00
2118049,202,95.27,103.55
8269378,6004,13.87,39.00
8638003,204,27.61,30.01
6944045,103,16.36,10.00
7836029,102,52.00,27.50
4622566,107,27.09,19.75
4318665,902,20.00,26.00
1943127,707,2.40,3.00
5778544,1607,23.15,25.16
423622,107,29.75,14.87
5106018,107,11.84,27.73
8986440,2307,37.50,36.41
7759233,304,8.90,13.39
1937560,1103,14.30,8.00
1129550,2607,11.25,25.00
8949551,2204,13.50,36.00
2922103,407,28.50,78.00
6520892,203,6.90,19.00
4748058,209,29.00,46.12
8409022,102,20.00,24.50
5246131,203,16.00,11.60
8380718,1202,59.50,139.00
8031812,4409,2.68,2.92
5018088,9806,41.58,73.70
3099105,2303,13.18,38.00
7578744,407,8.80,14.00
3219968,5204,6.50,18.00
2097392,102,10.40,6.50
287669,107,15.75,21.00
5867616,1103,32.89,35.75
9947777,107,31.16,19.50
7108506,1403,36.00,19.75
698281,302,13.50,19.00
7930199,402,45.08,49.00
6117927,203,59.80,65.00
6402109,107,17.63,11.87
579967,209,10.50,29.00
8678583,1709,12.38,13.75
9182223,7507,27.00,14.75
2662269,202,10.98,11.94
6652420,204,16.24,7.39
9297519,204,47.00,99.00
4809295,3504,22.53,24.49
1936153,1509,212.00,107.00
9587268,407,15.54,8.50
93028,102,17.78,20.00
332205,103,14.45,15.70
1891148,707,7.50,25.00
1896715,507,20.00,13.75
5647689,1509,328.00,447.50
2898428,409,62.50,31.25
1463366,107,24.30,23.00
1688391,2307,56.00,112.00
2788699,1607,31.98,39.00
8666980,909,55.00,49.99
