"STORE","CITY","STATE","ZIP","MSA","MSA_NAME","MSA_POP","CENSUS_REGION","LATITUDE","LONGITUDE","MSA_INCOME","MSA_HIGH","MSA_BACH"
8402,"METAIRIE                                ","LA  ","70002     ",5560,"NEW ORLEANS-METAIRIE-KENNER, LA                                                 ",1030363,"SOUTH                                                       ",30.011517,90.16245,20722,77.7,22.6
4702,"MARY ESTHER                             ","FL  ","32569     ",2750,"FORT WALTON BEACH-CRESTVIEW-DESTIN, FL                                          ",181499,"SOUTH                                                       ",30.409902,86.71497,34961,88.0,24.2
8004,"COLONIAL HEIGHTS                        ","VA  ","23834     ",6760,"RICHMOND, VA                                                                    ",1212977,"SOUTH                                                       ",37.265403,77.40438,37169,82.6,29.2
7104,"VIRGINIA BEACH                          ","VA  ","23452     ",5720,"VIRGINIA BEACH-NEWPORT NEWS, VA-NC                                              ",1658754,"SOUTH                                                       ",36.839209,76.09333,33316,84.8,23.9
8109,"LITTLETON                               ","CO  ","80124     ",2080,"DENVER-AURORA, CO                                                               ",2464866,"WEST                                                        ",39.543478,104.89644,42574,86.4,34.2
7302,"AUBURN                                  ","AL  ","36830     ",580,"AUBURN-OPELIKA, AL                                                              ",130516,"SOUTH                                                       ",32.577135,85.47282,24406,81.4,27.9
5402,"BOYNTON BEACH                           ","FL  ","33426     ",2680,"MIAMI-FORT LAUDERDALE-POMPANO BEACH, FL                                         ",5413212,"SOUTH                                                       ",26.529581,80.08226,36293,73.9,22.9
1703,"ST. JOSEPH                              ","MO  ","64506     ",7000,"ST. JOSEPH, MO-KS                                                               ",123339,"MIDWEST                                                     ",39.787394,94.80941,27009,81.5,16.9
6704,"SPARTANBURG                             ","SC  ","29301     ",3160,"SPARTANBURG, SC                                                                 ",275534,"SOUTH                                                       ",34.940921,81.98682,26710,75.4,20.7
9304,"OKLAHOMA CITY                           ","OK  ","73118     ",5880,"OKLAHOMA CITY, OK                                                               ",1192989,"SOUTH                                                       ",35.515008,97.53106,31630,83.6,24.4
1002,"PORT RICHEY                             ","FL  ","34668     ",8280,"TAMPA-ST. PETERSBURG-CLEARWATER, FL                                             ",2723949,"SOUTH                                                       ",28.30073,82.69698,33008,81.5,21.7
3204,"SHREVEPORT                              ","LA  ","71104     ",7680,"SHREVEPORT-BOSSIER CITY, LA                                                     ",387583,"SOUTH                                                       ",32.484232,93.73671,30527,78.9,19.1
4904,"ASHEVILLE                               ","NC  ","28806     ",480,"ASHEVILLE, NC                                                                   ",404320,"SOUTH                                                       ",35.575877,82.6062,28432,80.8,24.5
6902,"MACON                                   ","GA  ","31206     ",4680,"MACON, GA                                                                       ",229846,"SOUTH                                                       ",32.79904,83.67216,29466,78.9,19.5
609,"PHOENIX                                 ","AZ  ","85033     ",6200,"PHOENIX-MESA-SCOTTSDALE, AZ                                                     ",4179427,"WEST                                                        ",33.496091,112.21405,32536,85.1,23.9
2602,"ALTAMONTE SPRINGS                       ","FL  ","32701     ",5960,"ORLANDO-KISSIMMEE, FL                                                           ",2032496,"SOUTH                                                       ",28.666249,81.36796,31112,82.8,24.8
1109,"PRESCOTT                                ","AZ  ","86303     ",0,"PRESCOTT, AZ                                                                    ",212635,"WEST                                                        ",34.515939,112.45399,24015,89.6,30.6
8603,"LEXINGTON                               ","KY  ","40502     ",4280,"LEXINGTON-FAYETTE, KY                                                           ",447173,"SOUTH                                                       ",38.017219,84.4859,33821,85.8,35.6
7702,"SAVANNAH                                ","GA  ","31419     ",7520,"SAVANNAH, GA                                                                    ",329329,"SOUTH                                                       ",31.986249,81.20259,32069,79.9,23.2
3209,"SANDY                                   ","UT  ","84070     ",7160,"SALT LAKE CITY, UT                                                              ",1099973,"WEST                                                        ",40.581595,111.88821,33279,87.5,26.5
4307,"LUBBOCK                                 ","TX  ","79414     ",4600,"LUBBOCK, TX                                                                     ",267211,"SOUTH                                                       ",33.550335,101.91661,28364,78.4,24.4
603,"FAIRVIEW HEIGHTS                        ","IL  ","62208     ",7040,"ST. LOUIS, MO-IL                                                                ",2803707,"MIDWEST                                                     ",38.596199,90.00227,36174,80.9,19.3
3802,"JENSEN BEACH                            ","FL  ","34957     ",2710,"PORT ST. LUCIE, FL                                                              ",400121,"SOUTH                                                       ",27.248445,80.23277,32458,80.8,19.7
2909,"LOGAN                                   ","UT  ","84341     ",0,"LOGAN, UT-ID                                                                    ",121090,"WEST                                                        ",41.780998,111.80904,22481,88.9,34.5
6002,"ALPHARETTA                              ","GA  ","30022     ",520,"ATLANTA-SANDY SPRINGS-MARIETTA, GA                                              ",5278904,"SOUTH                                                       ",34.026238,84.24506,35009,84.0,32.0
2503,"KANSAS CITY                             ","MO  ","64155     ",3760,"KANSAS CITY, MO-KS                                                              ",1985429,"MIDWEST                                                     ",39.276828,94.57344,35859,82.5,25.7
3709,"MISSOULA                                ","MT  ","59801     ",5140,"MISSOULA, MT                                                                    ",105650,"WEST                                                        ",46.855423,114.01229,30991,91.0,32.8
4603,"CORALVILLE                              ","IA  ","52241     ",3500,"IOWA CITY, IA                                                                   ",147038,"MIDWEST                                                     ",41.688215,91.58676,33971,93.7,47.6
3207,"KILLEEN                                 ","TX  ","76543     ",3810,"KILLEEN-TEMPLE-FORT HOOD, TX                                                    ",370008,"SOUTH                                                       ",31.113828,97.69246,28907,83.8,18.1
9204,"OKLAHOMA CITY                           ","OK  ","73134     ",5880,"OKLAHOMA CITY, OK                                                               ",1192989,"SOUTH                                                       ",35.612359,97.57152,31630,83.6,24.4
2203,"OVERLAND PARK                           ","KS  ","66214     ",3760,"KANSAS CITY, MO-KS                                                              ",1985429,"MIDWEST                                                     ",38.961756,94.71498,35859,94.9,47.7
903,"ST. PETERS                              ","MO  ","63376     ",7040,"ST. LOUIS, MO-IL                                                                ",2803707,"MIDWEST                                                     ",38.778579,90.62045,36174,81.5,16.9
4004,"RALEIGH                                 ","NC  ","27616     ",6640,"RALEIGH-CARY, NC                                                                ",1047629,"SOUTH                                                       ",35.865441,78.54929,35186,85.4,38.9
104,"CHARLOTTE                               ","NC  ","28216     ",1520,"CHARLOTTE-GASTONIA-CONCORD, NC-SC                                               ",1651568,"SOUTH                                                       ",35.739681,95.40711,36151,80.8,27.1
5804,"AUGUSTA                                 ","GA  ","30909     ",600,"AUGUSTA-RICHMOND COUNTY, GA-SC                                                  ",528519,"SOUTH                                                       ",33.475936,82.0697,28105,80.1,22.1
9409,"COLORADO SPRINGS                        ","CO  ","80920     ",1720,"COLORADO SPRINGS, CO                                                            ",609096,"WEST                                                        ",38.952366,104.76701,33521,91.3,31.8
5302,"PEMBROKE PINES                          ","FL  ","33026     ",2680,"MIAMI-FORT LAUDERDALE-POMPANO BEACH, FL                                         ",5413212,"SOUTH                                                       ",26.0267,80.29443,36293,73.9,22.9
9909,"CHEYENNE                                ","WY  ","82009     ",1580,"CHEYENNE, WY                                                                    ",86353,"WEST                                                        ",41.275932,104.88279,36355,89.1,23.4
4109,"LAS VEGAS                               ","NV  ","89109     ",4120,"LAS VEGAS-PARADISE, NV                                                          ",1836333,"WEST                                                        ",36.126038,115.14796,34890,79.4,17.2
1602,"NAPLES                                  ","FL  ","34102     ",5345,"NAPLES-MARCO ISLAND, FL                                                         ",315839,"SOUTH                                                       ",26.142938,81.79852,44458,81.8,27.9
8504,"BARTLESVILLE                            ","OK  ","74006     ",0,"OK NONMETROPOLITAN AREA                                                         ",34748,"SOUTH                                                       ",36.733398,95.92404,35827,86.3,30.7
3102,"JACKSONVILLE                            ","FL  ","32225     ",3600,"JACKSONVILLE, FL                                                                ",40487,"SOUTH                                                       ",30.348585,81.49965,33732,83.6,22.9
4204,"CHAPEL HILL                             ","NC  ","27514     ",6640,"DURHAM, NC                                                                      ",479624,"SOUTH                                                       ",35.915083,79.02939,34099,85.4,38.9
6803,"FAIRVIEW PARK                           ","OH  ","44126     ",1680,"CLEVELAND-ELYRIA-MENTOR, OH                                                     ",2096471,"MIDWEST                                                     ",41.441697,81.85738,35542,82.9,23.3
2004,"TULLAHOMA                               ","TN  ","37388     ",0,"TN NONMETROPOLITAN AREA                                                         ",17994,"SOUTH                                                       ",35.357522,86.21484,34119,78.5,24.3
2307,"SAN ANTONIO                             ","TX  ","78238     ",7240,"SAN ANTONIO, TX                                                                 ",1990675,"SOUTH                                                       ",29.479874,98.61509,30109,76.2,19.5
7102,"MONTGOMERY                              ","AL  ","36117     ",5240,"MONTGOMERY, AL                                                                  ",365962,"SOUTH                                                       ",32.373714,86.16443,31083,79.5,24.7
204,"HOT SPRINGS                             ","AR  ","71913     ",0,"HOT SPRINGS, AR                                                                 ",96371,"SOUTH                                                       ",34.47056,93.08805,27048,74.0,16.6
6004,"HUNTSVILLE                              ","AL  ","35801     ",3440,"HUNTSVILLE, AL                                                                  ",63902,"SOUTH                                                       ",34.72879,86.57316,33119,83.4,30.9
4902,"BILOXI                                  ","MS  ","39531     ",920,"GULFPORT-BILOXI, MS                                                             ",231523,"SOUTH                                                       ",30.405831,88.96219,26288,80.3,18.4
3409,"BOISE                                   ","ID  ","83704     ",1080,"BOISE CITY-NAMPA, ID                                                            ",587689,"WEST                                                        ",43.63123,116.28716,31569,86.5,24.5
7407,"HOUSTON                                 ","TX  ","77024     ",3360,"HOUSTON-SUGAR LAND-BAYTOWN, TX                                                  ",5628101,"SOUTH                                                       ",29.773994,95.51771,39052,76.4,26.5
3503,"MANHATTAN                               ","KS  ","66502     ",0,"KS NONMETROPOLITAN AREA                                                         ",51707,"MIDWEST                                                     ",39.184986,96.56932,30463,94.9,48.2
7907,"FRIENDSWOOD                             ","TX  ","77546     ",3360,"HOUSTON-SUGAR LAND-BAYTOWN, TX                                                  ",5628101,"SOUTH                                                       ",29.516873,95.19472,39052,76.4,26.5
6204,"NORTH CHARLESTON                        ","SC  ","29406     ",1440,"CHARLESTON-NORTH CHARLESTON, SC                                                 ",630100,"SOUTH                                                       ",32.918757,80.0228,30514,81.3,25.0
6404,"COLUMBIA                                ","SC  ","29212     ",1760,"COLUMBIA, SC                                                                    ",716030,"SOUTH                                                       ",34.075611,81.17611,30927,84.3,29.2
1904,"RIDGELAND                               ","MS  ","39157     ",3560,"JACKSON, MS                                                                     ",534047,"SOUTH                                                       ",32.420814,90.13134,30830,83.0,37.9
5503,"CRESTVIEW HILLS                         ","KY  ","41017     ",1640,"CINCINNATI-MIDDLETOWN, OH-KY-IN                                                 ",2133678,"SOUTH                                                       ",39.036361,84.56801,35618,90.0,21.2
5103,"CINCINNATI                              ","OH  ","45236     ",1640,"CINCINNATI-MIDDLETOWN, OH-KY-IN                                                 ",2133678,"MIDWEST                                                     ",39.205109,84.39512,35618,82.9,26.4
8309,"CENTENNIAL                              ","CO  ","80122     ",2080,"DENVER-AURORA, CO                                                               ",2464866,"WEST                                                        ",39.582604,104.95834,42574,86.4,34.2
2603,"MISSION                                 ","KS  ","66205     ",3760,"KANSAS CITY, MO-KS                                                              ",1985429,"MIDWEST                                                     ",39.030172,94.63097,35859,94.9,47.7
2704,"MURFREESBORO                            ","TN  ","37129     ",5360,"NASHVILLE-MURFREESBORO-FRANKLIN, TN                                             ",1521437,"SOUTH                                                       ",35.896645,86.42425,36445,81.4,26.9
7304,"CHESAPEAKE                              ","VA  ","23321     ",5720,"VIRGINIA BEACH-NEWPORT NEWS, VA-NC                                              ",1658754,"SOUTH                                                       ",36.826239,76.41524,33316,84.8,23.9
3202,"ORANGE PARK                             ","FL  ","32073     ",3600,"JACKSONVILLE, FL                                                                ",40487,"SOUTH                                                       ",30.160965,81.72916,33732,83.6,22.9
2103,"KANSAS CITY                             ","MO  ","64114     ",3760,"KANSAS CITY, MO-KS                                                              ",1985429,"MIDWEST                                                     ",38.966056,94.59641,35859,82.5,25.7
1003,"MARION                                  ","IL  ","62959     ",0,"IL NONMETROPOLITAN AREA                                                         ",17282,"MIDWEST                                                     ",37.724504,88.92968,30364,79.8,17.2
