"STORE","CITY","STATE","ZIP"
4902,"BILOXI                                  ","MS  ","39531     "
3409,"BOISE                                   ","ID  ","83704     "
3367,"AUSTIN                                  ","TX  ","52011     "
7407,"HOUSTON                                 ","TX  ","77024     "
3503,"MANHATTAN                               ","KS  ","66502     "
4803,"DAVENPORT                               ","IA  ","52806     "
7907,"FRIENDSWOOD                             ","TX  ","77546     "
4904,"ASHEVILLE                               ","NC  ","28806     "
6204,"NORTH CHARLESTON                        ","SC  ","29406     "
6404,"COLUMBIA                                ","SC  ","29212     "
1904,"RIDGELAND                               ","MS  ","39157     "
5503,"CRESTVIEW HILLS                         ","KY  ","41017     "
5103,"CINCINNATI                              ","OH  ","45236     "
65,"SAN ANTONIO                             ","TX  ","78218     "
3700,"FORT WORTH                              ","TX  ","76137     "
8309,"CENTENNIAL                              ","CO  ","80122     "
2603,"MISSION                                 ","KS  ","66205     "
903,"ST. PETERS                              ","MO  ","63376     "
8006,"LITTLE ROCK                             ","AR  ","72201     "
5804,"AUGUSTA                                 ","GA  ","30909     "
109,"PHOENIX                                 ","AZ  ","85015     "
5302,"PEMBROKE PINES                          ","FL  ","33026     "
2704,"MURFREESBORO                            ","TN  ","37129     "
5306,"RAYTOWN                                 ","MO  ","64133     "
3202,"ORANGE PARK                             ","FL  ","32073     "
6803,"FAIRVIEW PARK                           ","OH  ","44126     "
9306,"ARLINGTON                               ","TX  ","76011     "
3704,"TEXARKANA                               ","TX  ","75503     "
2103,"KANSAS CITY                             ","MO  ","64114     "
7100,"FT WORTH                                ","TX  ","76137     "
1003,"MARION                                  ","IL  ","62959     "
300,"OLATHE                                  ","KS  ","66062     "
3802,"JENSEN BEACH                            ","FL  ","34957     "
7617,"HOUSTON                                 ","TX  ","77036     "
7304,"CHESAPEAKE                              ","VA  ","23321     "
100,"SALISBURY                               ","NC  ","28146     "
8906,"LITTLE ROCK                             ","AR  ","72201     "
